0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
3.0,6.0,10.0,10.0,7.0,3.0,0.0,-1.0,2.0,7.0,9.0,8.0,7.0,6.943396226415095,4.226415094339623,3.0952380952380953,2.3333333333333335,4.0,4.0,3.4,2.0,4.0,7.0,4.0,6.0,7.0,6.4,5.0,2.0,0.0
3.0,6.0,10.0,10.0,6.0,4.0,-1.0,-1.0,2.0,7.0,9.0,8.0,7.0,6.886792452830188,4.169811320754716,3.0714285714285716,2.4444444444444446,4.0,4.0,3.2,2.0,4.5,7.0,4.0,6.0,7.0,6.2,5.0,1.0,0.0
3.0,6.5,10.0,10.0,7.0,6.0,-1.0,-2.0,2.0,7.0,8.0,8.0,7.0,6.830188679245283,4.113207547169811,3.0476190476190474,2.5555555555555554,4.0,4.0,3.0,2.0,5.0,7.0,4.0,6.0,7.0,6.0,5.0,0.0,0.0
3.0,7.0,9.0,10.0,7.0,5.5,-0.5,-2.0,2.0,8.0,8.0,8.0,7.0,6.773584905660377,4.056603773584905,3.0238095238095237,2.6666666666666665,4.0,4.0,3.5,2.0,5.0,6.0,4.0,5.5,7.0,6.0,5.0,0.0,0.0
3.0,6.0,9.0,9.0,7.0,5.0,0.0,-2.0,2.0,7.0,8.0,8.0,7.0,6.716981132075472,4.0,3.0,2.7777777777777777,4.0,4.0,4.0,2.0,5.0,5.0,4.0,5.0,7.0,6.0,5.0,0.0,0.0
3.0,7.0,9.0,10.0,7.0,5.0,1.0,-2.0,1.0,7.0,8.0,8.0,7.0,6.660377358490566,4.0,3.0,2.888888888888889,4.0,4.0,4.0,2.0,4.0,5.0,4.5,7.0,7.0,5.5,5.0,0.0,0.0
3.0,6.0,9.0,10.0,6.0,5.0,1.0,-2.0,1.0,7.0,8.0,7.5,7.0,6.60377358490566,4.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,6.0,8.0,5.0,5.0,0.0,0.0
3.0,6.0,9.0,10.0,6.0,4.5,1.0,-1.0,1.0,7.0,8.0,7.0,6.0,6.547169811320755,4.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,5.0,9.0,7.0,5.0,5.0,0.0,0.0
3.0,6.0,9.0,9.0,6.0,4.0,1.5,-1.0,0.0,7.0,8.0,7.0,6.0,6.490566037735849,4.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,5.0,10.0,7.0,6.0,6.0,0.0,0.0
3.0,6.0,8.0,9.0,6.0,4.0,2.0,-1.5,0.0,7.0,8.0,7.0,6.0,6.433962264150943,4.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,5.0,9.0,7.5,5.5,6.0,0.0,0.0
