0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
10.0,10.142857142857142,8.0,7.0,11.0,10.0,6.0,6.0,12.0,11.5,13.0,16.0,6.0,3.0,3.0,5.0,1.0,8.0,10.0,10.0,15.0,12.0,14.0,13.0,14.0,9.0,8.0,12.0,14.0,12.0,13.0
10.0,9.571428571428571,8.0,6.0,11.0,10.0,5.0,5.0,12.0,11.0,12.0,16.0,6.0,3.0,3.0,5.0,1.0,8.0,10.0,9.5,14.0,12.0,14.0,12.0,13.0,10.0,8.0,12.0,15.0,11.0,13.0
10.0,9.0,8.0,6.0,11.0,10.0,5.0,6.0,12.0,11.0,12.0,16.0,6.0,2.0,3.0,5.0,0.0,7.0,10.0,9.0,13.0,12.0,14.0,13.0,12.0,9.0,8.0,12.0,15.0,10.0,14.0
9.0,8.0,8.0,5.0,11.0,10.0,6.0,5.0,12.0,11.0,12.0,16.0,5.5,1.0,3.0,5.0,0.0,8.0,10.0,9.0,13.0,12.0,14.0,14.0,13.0,9.0,8.0,12.0,14.0,10.5,13.0
9.0,9.0,8.0,6.0,11.0,10.0,7.0,5.0,12.0,11.0,11.0,16.0,5.0,2.0,2.0,5.0,0.0,7.0,9.0,8.0,13.0,11.0,14.0,14.0,13.0,8.0,8.0,11.5,14.0,11.0,13.5
9.0,9.0,9.0,7.0,11.0,10.0,7.0,5.0,12.0,11.0,12.0,16.0,6.0,3.0,4.0,6.0,0.0,7.0,10.0,8.0,12.0,12.0,14.0,14.0,14.0,10.0,9.0,11.0,14.0,12.0,14.0
11.0,10.0,9.0,8.0,11.0,10.0,8.0,7.0,13.0,11.0,13.0,16.0,7.0,4.0,6.0,6.0,2.0,8.0,11.0,11.0,13.0,13.0,14.0,14.0,15.0,12.0,9.0,13.0,15.0,13.0,15.0
11.0,10.5,10.0,10.0,11.0,10.0,9.0,9.0,13.0,12.0,16.0,16.0,8.0,6.0,8.0,5.0,4.0,8.0,12.0,12.0,14.0,13.0,14.0,14.0,15.0,14.0,11.0,14.0,16.0,15.0,16.0
12.0,11.0,11.0,12.0,11.0,11.0,11.0,10.0,13.0,12.0,17.0,14.5,9.0,7.0,10.0,6.0,5.0,9.0,12.0,13.0,14.0,13.5,14.0,15.0,16.0,15.0,12.0,15.5,17.0,17.0,17.0
13.0,12.0,12.0,13.0,11.0,11.0,11.0,11.5,13.0,13.0,18.0,13.0,9.0,8.0,11.0,5.0,6.0,10.0,14.0,14.0,14.0,14.0,14.0,15.0,17.0,16.0,13.0,17.0,18.0,18.0,17.5
13.0,12.0,13.0,14.0,11.0,11.0,12.0,13.0,13.0,14.0,20.0,12.0,10.0,9.0,12.0,6.0,8.0,9.0,15.0,16.0,15.0,14.0,14.0,16.0,17.0,16.0,14.0,17.0,18.5,19.0,18.0
13.0,13.0,15.0,15.0,11.0,12.0,12.0,14.0,13.0,15.0,21.0,11.0,11.0,10.0,13.0,6.0,9.0,11.0,15.0,17.0,16.0,15.0,14.0,17.0,18.0,17.0,15.0,18.0,19.0,20.0,18.0
13.0,14.0,15.0,16.0,11.0,13.0,12.5,15.0,14.0,16.0,24.0,11.0,11.0,11.0,14.0,7.0,10.0,11.0,17.0,18.0,16.0,16.0,14.0,17.5,19.0,18.0,15.0,19.0,20.0,21.0,19.0
13.5,14.0,16.0,17.0,11.0,13.0,13.0,16.0,15.0,17.0,24.0,10.0,11.0,11.5,15.0,6.0,10.0,12.0,19.0,18.5,17.0,16.0,14.5,18.0,19.5,19.0,16.0,19.0,21.0,22.0,19.0
14.0,14.0,17.0,18.0,12.0,14.0,13.0,17.0,15.0,18.0,25.0,11.0,12.0,12.0,15.0,6.333333333333333,11.0,13.0,19.5,19.0,18.0,16.0,15.0,19.0,20.0,19.0,17.0,20.0,21.0,22.0,19.5
15.0,15.0,17.0,19.0,13.0,14.0,14.0,18.0,15.0,20.0,25.0,10.0,12.0,13.0,16.0,6.666666666666667,11.0,13.0,20.0,20.0,18.5,16.0,15.0,20.0,20.0,19.0,17.0,21.0,21.5,23.0,20.0
15.0,16.0,17.0,19.0,14.0,14.0,15.0,19.0,14.0,21.0,26.0,10.0,13.0,13.0,16.0,7.0,12.0,14.0,20.0,22.0,19.0,18.0,15.0,21.0,21.0,20.0,17.0,21.0,22.0,24.0,21.0
15.0,17.0,17.0,20.0,13.0,14.0,15.0,19.0,15.0,22.0,26.0,11.0,13.0,14.0,15.0,8.0,13.0,16.0,21.0,22.5,20.0,17.0,16.0,22.0,21.0,21.0,18.0,21.0,22.5,24.0,21.5
16.0,17.0,18.0,20.0,13.0,14.0,15.0,20.0,16.0,22.5,27.0,11.0,13.0,14.0,15.0,9.0,14.0,17.0,20.0,23.0,20.0,19.0,16.0,23.0,21.0,22.0,19.0,21.5,23.0,24.0,22.0
16.0,17.0,18.0,21.0,14.0,14.0,14.0,20.0,17.0,23.0,27.0,11.0,13.0,15.0,15.0,10.0,14.0,17.0,20.0,24.0,20.0,19.0,16.5,22.0,22.0,22.0,20.0,22.0,23.0,25.0,23.0
17.0,17.0,19.0,22.0,14.0,9.0,14.0,21.0,17.0,24.0,28.0,10.0,13.0,15.0,14.0,11.0,14.0,17.0,20.0,24.0,20.0,19.5,17.0,22.0,22.0,22.0,21.0,22.0,23.0,25.0,23.0
18.0,17.5,20.0,22.0,15.0,10.0,16.0,20.0,18.0,25.0,28.0,10.0,13.0,15.0,12.0,10.0,15.0,18.0,21.0,24.0,20.0,20.0,18.0,23.0,22.0,22.0,21.0,23.0,22.0,25.0,24.0
18.0,18.0,19.0,22.0,15.0,11.0,17.0,21.0,20.0,26.0,29.0,10.0,14.0,15.5,14.0,10.0,15.0,17.5,21.0,24.0,18.0,20.0,18.0,24.0,22.0,22.0,21.0,23.0,22.0,25.0,23.0
18.0,17.5,20.0,22.0,16.0,12.0,17.0,20.0,19.0,26.0,29.0,10.0,15.0,16.0,12.0,6.0,15.0,17.0,20.0,22.0,16.5,20.0,19.5,23.0,23.0,22.0,22.0,23.0,23.0,26.0,24.0
18.0,17.0,20.0,22.0,16.0,11.0,17.0,19.0,20.0,27.0,29.0,10.0,14.0,16.0,12.0,9.0,15.0,17.0,21.0,22.0,15.0,20.0,21.0,23.0,23.0,22.0,21.0,23.0,24.0,26.0,24.0
18.0,17.0,20.0,22.0,16.0,13.0,17.0,19.0,20.0,27.0,30.0,10.0,14.0,16.0,12.0,10.0,16.0,17.5,21.0,22.5,14.0,21.0,20.0,23.0,23.0,23.0,20.0,23.0,25.0,25.0,24.0
18.0,16.5,19.0,23.0,16.0,12.0,17.0,19.0,18.0,26.0,30.0,10.0,14.0,16.0,12.0,9.0,16.0,18.0,21.0,23.0,15.0,21.0,20.0,24.0,23.0,23.0,20.0,23.0,25.0,26.0,24.0
18.0,16.0,18.0,22.5,16.0,12.0,17.0,19.0,17.0,26.0,29.0,10.0,14.0,16.0,12.0,10.0,15.0,17.0,22.0,22.0,15.0,21.0,19.0,24.0,23.0,22.0,19.0,23.0,25.0,24.0,24.0
19.0,15.0,19.0,22.0,15.0,11.0,17.0,19.0,16.0,25.0,28.5,10.0,13.0,16.0,13.0,11.0,15.0,17.0,21.0,22.0,15.0,21.0,19.0,24.0,22.0,22.0,19.0,22.0,24.0,24.0,23.0
18.0,16.0,19.0,22.0,16.0,12.0,16.0,18.0,16.0,25.5,28.0,10.0,13.0,16.0,12.0,10.0,15.0,17.0,22.0,22.0,15.0,21.0,18.5,23.0,22.0,22.0,19.0,22.0,23.0,23.0,22.0
17.0,16.0,18.0,22.0,15.0,12.0,16.0,16.0,17.0,26.0,28.0,10.0,13.0,16.0,13.0,8.0,15.0,17.0,21.0,21.0,16.0,20.0,18.0,22.0,22.0,21.0,19.0,21.0,23.0,22.0,20.0
17.0,15.0,17.0,20.0,14.0,12.0,16.0,15.0,16.5,26.0,27.0,10.0,12.0,15.0,10.0,8.0,14.0,16.0,21.0,20.0,16.0,20.0,18.0,21.0,21.0,21.0,19.0,22.0,23.0,22.0,18.0
16.0,14.0,15.0,17.0,14.0,10.0,14.0,14.0,16.0,24.0,26.0,10.0,11.0,15.0,9.0,8.0,14.0,16.0,19.0,19.0,15.5,19.0,17.0,20.0,21.0,20.0,18.0,20.0,23.0,21.0,18.0
15.0,12.5,14.0,17.0,13.0,10.0,15.0,13.0,15.0,22.0,25.0,10.0,11.0,14.0,8.0,7.0,13.0,15.0,17.0,19.0,15.0,17.0,17.0,20.0,20.0,20.0,18.0,19.0,21.0,20.0,18.0
14.5,11.0,15.0,16.0,12.0,11.0,12.0,13.0,15.0,20.0,23.0,10.0,10.0,12.0,8.0,6.0,13.0,15.0,16.0,19.0,14.0,16.0,16.0,17.0,19.0,18.0,17.0,18.0,19.0,19.0,18.0
14.0,12.0,14.0,16.0,9.0,9.0,13.0,13.0,14.0,18.0,23.0,9.0,9.0,10.0,7.0,6.0,12.0,14.0,15.0,18.0,13.5,16.0,17.0,16.0,18.5,18.0,17.0,17.0,16.0,17.0,17.0
14.0,10.0,12.0,15.0,9.0,9.0,12.0,12.0,14.0,18.0,22.0,9.0,9.0,8.0,6.0,6.0,10.0,14.0,15.0,18.0,13.0,15.5,16.0,16.0,18.0,17.0,16.0,15.0,16.0,17.0,18.0
14.0,11.0,11.0,14.0,9.0,9.5,12.0,12.0,14.0,16.0,20.0,9.0,7.0,7.0,6.0,6.0,11.0,14.0,13.0,17.0,14.0,15.0,15.0,15.0,18.0,17.0,15.0,14.0,15.0,17.0,17.0
14.0,10.0,12.0,14.0,9.0,10.0,11.0,12.0,13.0,17.0,20.0,9.0,5.0,7.0,6.0,6.0,12.0,13.0,14.0,17.0,14.0,15.0,16.0,15.0,18.0,16.0,14.0,15.0,14.5,17.0,18.0
14.0,11.0,11.0,14.0,8.0,10.0,10.0,12.0,12.0,16.0,19.5,8.5,5.0,6.5,6.0,5.0,11.0,12.666666666666666,12.0,16.5,13.0,14.0,15.0,14.5,17.0,16.0,13.0,15.0,14.0,17.0,18.0
13.0,10.0,10.0,13.0,9.0,9.0,9.0,12.0,11.0,16.0,19.0,8.0,4.5,6.0,6.0,5.0,11.0,12.333333333333334,11.0,16.0,13.0,14.0,14.0,14.0,17.0,14.0,13.0,15.0,15.0,16.0,18.0
13.0,10.0,9.0,12.0,8.0,8.0,8.0,12.0,11.0,14.0,18.0,7.0,4.0,5.0,6.0,4.0,10.0,12.0,12.0,14.0,13.0,14.0,14.0,14.0,16.0,12.0,13.0,15.0,12.0,15.0,17.0
13.0,10.0,8.0,12.0,8.0,8.0,7.0,12.0,11.0,15.0,17.5,7.0,4.0,4.0,6.0,3.0,9.714285714285714,12.0,12.0,14.0,13.0,14.0,13.5,15.0,14.5,12.0,13.0,15.0,12.0,15.0,17.5
13.0,10.0,9.0,12.0,9.0,8.0,6.833333333333333,12.0,11.0,15.0,17.0,7.0,5.0,4.0,6.0,3.0,9.428571428571429,12.0,11.666666666666666,14.0,13.0,14.0,13.0,14.0,13.0,12.0,13.0,15.0,12.0,15.0,18.0
12.428571428571429,12.0,9.0,9.5,10.0,7.6,6.666666666666667,9.0,11.5,13.0,16.0,13.0,6.0,3.5,5.333333333333333,4.0,9.142857142857142,11.6,11.333333333333334,14.2,13.5,13.5,13.5,13.0,12.2,12.0,12.8,13.0,13.0,13.666666666666666,16.666666666666668
11.857142857142858,11.5,9.0,7.0,11.0,7.2,6.5,6.0,12.0,11.0,15.0,19.0,7.0,3.0,4.666666666666667,5.0,8.857142857142858,11.2,11.0,14.4,14.0,13.0,14.0,15.0,11.4,12.0,12.6,11.0,14.0,12.333333333333334,15.333333333333334
11.285714285714286,11.0,7.0,7.0,11.0,6.8,6.333333333333333,6.0,12.0,11.666666666666666,13.0,14.666666666666668,5.666666666666667,3.0,4.0,5.0,8.571428571428571,10.8,10.666666666666666,14.6,14.0,13.333333333333334,14.0,14.666666666666666,10.6,10.0,12.4,12.0,13.333333333333334,11.0,14.0
10.714285714285715,10.0,7.0,7.0,11.0,6.4,6.166666666666667,9.0,12.0,12.333333333333334,14.5,10.333333333333334,4.333333333333334,3.0,4.0,3.0,8.285714285714286,10.4,10.333333333333334,14.8,15.0,13.666666666666666,13.5,14.333333333333334,9.8,9.0,12.2,13.0,12.666666666666666,11.0,14.0
