0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
16.0,13.0,13.0,12.0,11.0,11.0,13.0,16.0,13.0,11.0,12.333333333333334,11.0,11.0,7.0,9.0,16.0,15.0,15.0,16.0,19.0,16.0,16.0,13.0,11.0,16.0,13.0,16.0,15.0,17.0,21.0
17.0,12.5,14.0,12.0,10.0,11.0,13.0,16.0,13.0,11.0,13.0,12.0,11.0,7.5,9.0,16.0,14.0,16.0,17.0,19.0,16.0,16.0,13.0,10.0,16.0,11.0,16.0,15.0,17.0,20.0
16.0,12.0,14.0,12.0,10.0,11.0,13.0,16.0,13.0,11.0,13.0,12.0,11.0,8.0,9.0,14.0,14.0,15.0,17.0,19.0,16.0,16.0,13.0,10.0,16.0,12.0,16.0,15.0,17.0,19.0
16.0,12.0,14.0,12.0,9.0,10.0,13.0,15.0,13.0,11.0,13.0,12.0,11.0,8.0,9.0,14.0,13.0,15.0,15.0,19.0,16.0,16.0,13.0,9.0,16.0,11.0,16.0,14.0,18.0,20.0
16.0,12.0,14.0,12.0,9.0,11.0,13.0,15.0,13.0,11.0,13.0,12.0,11.0,8.0,9.0,15.0,13.0,15.0,16.0,19.0,16.0,15.0,14.0,10.0,16.0,11.0,16.0,15.0,19.0,19.0
15.0,14.0,15.0,12.0,9.0,11.0,13.0,15.0,13.0,11.0,13.0,12.0,11.0,9.0,10.0,16.5,14.0,16.0,18.0,19.0,16.0,15.0,14.0,12.0,16.0,13.0,17.0,15.0,19.0,20.0
15.0,15.0,16.0,12.0,9.0,12.0,14.0,15.0,14.0,11.0,13.0,12.0,11.0,10.0,12.0,18.0,15.0,18.0,18.0,19.0,15.0,15.0,15.0,13.0,16.0,13.0,17.0,16.5,19.5,21.0
16.0,15.0,16.0,12.0,9.0,13.0,14.5,16.0,14.0,11.0,14.0,12.0,12.0,11.0,13.5,19.0,16.0,19.0,19.0,20.0,15.0,15.0,16.0,15.0,16.0,14.0,18.0,18.0,20.0,22.0
15.5,16.0,17.0,12.0,10.0,13.0,15.0,16.0,14.0,12.0,15.0,12.0,12.0,12.0,15.0,20.0,17.0,20.0,20.0,20.0,16.0,15.0,17.0,16.0,16.0,14.0,19.0,19.0,21.0,22.0
15.0,18.0,17.0,12.0,10.0,13.0,17.0,17.0,14.0,12.0,15.0,12.0,12.5,12.0,16.5,21.0,18.0,21.0,21.0,20.0,16.0,16.0,17.0,17.0,16.0,15.5,19.0,21.0,21.0,23.0
