0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
-3.0,-3.0,-1.0,2.608695652173913,1.0,0.0,-6.0,-1.0,-1.1492537313432836,-0.074626865671642,1.0,-2.789473684210526,-6.578947368421052,-3.0,1.0,6.0,5.195121951219512,4.095238095238095,2.0,-2.0,3.0,2.144,5.6,9.056,2.0,7.0,7.0,6.0,3.0,5.0,1.0
-3.0,-2.5,-1.125,2.782608695652174,1.0,0.5,-5.5,-1.0,-1.126865671641791,-0.052238805970149294,0.9210526315789473,-2.8684210526315788,-6.657894736842104,-3.0,1.0,5.0,5.170731707317073,4.071428571428571,2.0,-2.0,3.5,2.216,5.672,9.128,2.0,6.5,7.5,6.0,3.0,4.0,1.0
-3.0,-2.0,-1.25,2.9565217391304346,1.0,1.0,-5.0,-1.0,-1.1044776119402986,-0.029850746268656803,0.8421052631578947,-2.9473684210526314,-6.7368421052631575,-3.0,1.0,4.0,5.146341463414634,4.0476190476190474,2.0,-2.0,4.0,2.288,5.744,9.2,2.0,6.0,8.0,6.0,2.0,6.0,1.0
-3.5,-2.0,-1.375,3.1304347826086953,0.5,1.0,-5.0,-1.0,-1.082089552238806,-0.007462686567164312,0.7631578947368421,-3.026315789473684,-6.81578947368421,-3.0,1.0,4.5,5.121951219512195,4.023809523809524,2.0,-2.5,4.0,2.36,5.816,9.271999999999998,3.0,6.5,8.0,6.0,1.0,7.0,0.0
-4.0,-2.0,-1.5,3.304347826086956,0.0,1.0,-5.0,-1.5,-1.0597014925373136,0.01492537313432818,0.6842105263157895,-3.1052631578947363,-6.894736842105263,-3.0,1.0,5.0,5.097560975609756,4.0,2.0,-3.0,4.0,2.432,5.888,9.344,2.0,7.0,8.0,6.0,1.0,7.0,1.0
-3.0,-2.0,-1.625,3.478260869565217,1.0,1.0,-5.0,-2.0,-1.0373134328358211,0.03731343283582067,0.6052631578947368,-3.1842105263157894,-6.973684210526315,-3.0,2.0,5.5,5.073170731707317,3.0,2.5,-2.0,4.0,2.504,5.959999999999999,9.416,4.5,6.5,8.0,6.0,1.0,8.0,1.0
-3.0,-2.0,-1.75,3.6521739130434785,1.0,1.0,-4.0,-2.0,-1.0149253731343284,0.05970149253731316,0.5263157894736843,-3.2631578947368416,-7.052631578947368,-3.0,2.0,6.0,5.048780487804878,2.925925925925926,3.0,-3.0,4.0,2.576,6.032,9.488,7.0,6.0,8.0,6.0,1.0,6.0,1.0
-2.0,-1.0,-1.875,3.8260869565217392,1.0,1.0,-4.0,-2.0,-0.9925373134328359,0.08208955223880565,0.44736842105263164,-3.3421052631578947,-7.131578947368421,-3.0,2.0,5.5,5.024390243902439,2.851851851851852,3.0,-3.0,5.0,2.6479999999999997,6.104,9.559999999999999,7.0,7.0,7.0,6.0,0.0,7.0,1.0
-2.0,-1.0,-2.0,4.0,1.0,1.0,-4.0,-2.0,-0.9701492537313434,0.10447761194029859,0.368421052631579,-3.421052631578947,-7.210526315789473,-3.0,2.0,5.0,5.0,2.7777777777777777,2.5,-3.0,5.0,2.7199999999999998,6.175999999999999,9.632,6.0,6.0,6.0,6.0,-1.0,6.0,0.0
-2.0,-1.3333333333333333,-3.0,3.9375,1.0,0.0,-4.0,-2.0,-0.9477611940298507,0.12686567164179108,0.2894736842105263,-3.5,-7.289473684210526,-3.0,2.0,5.0,5.0,2.7037037037037037,2.0,-2.0,5.0,2.792,6.247999999999999,9.704,5.0,6.0,6.0,5.5,0.0,6.0,2.0
