0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
13.0,18.0,19.0,22.0,22.0,20.0,23.0,25.0,28.0,27.0,21.0,12.0,15.0,18.0,18.5,21.0,23.0,21.0,14.0,16.0,21.0,13.0,20.0,18.0,16.0,15.0,18.0,19.0,12.0,13.0
13.0,19.0,20.0,22.0,22.0,21.0,23.0,24.0,27.0,27.0,21.0,12.0,14.0,18.0,18.0,21.0,23.0,21.0,14.0,16.0,21.0,13.0,19.0,18.0,15.0,15.0,17.5,19.0,11.0,13.0
13.0,19.0,20.0,22.0,22.0,20.0,23.0,24.0,27.0,27.0,21.0,11.5,14.0,18.0,18.0,21.0,22.0,21.0,14.0,16.0,21.0,13.0,18.0,18.0,15.0,14.0,17.0,18.0,11.0,13.0
13.0,19.0,20.0,22.0,21.0,20.0,23.0,24.0,27.0,26.0,20.0,11.0,13.0,17.0,18.0,21.0,21.0,20.0,13.0,15.0,20.0,13.0,18.0,18.0,15.0,13.0,14.0,17.0,11.0,13.0
13.0,18.0,19.0,22.0,21.0,19.0,23.0,24.0,26.0,24.0,20.0,10.0,13.0,16.0,18.0,21.0,20.0,20.0,13.0,15.0,18.0,12.5,17.0,17.0,14.0,13.0,13.0,16.0,11.0,13.0
13.0,17.5,19.0,21.0,21.0,19.0,22.0,23.0,24.0,23.0,20.0,10.0,13.0,15.0,17.0,19.0,19.5,20.0,12.0,14.0,18.0,12.0,16.0,17.0,14.0,12.0,13.0,14.5,11.0,12.0
13.0,17.0,19.0,21.0,20.0,18.0,20.0,20.0,22.0,21.0,19.0,10.0,13.0,14.0,16.0,17.0,19.0,19.0,11.0,13.0,17.0,12.0,16.0,16.0,14.0,12.0,14.0,13.0,11.0,12.0
13.0,16.0,19.0,21.0,20.0,16.0,18.0,17.0,20.0,20.0,19.0,10.0,12.0,12.0,14.0,15.0,16.0,18.0,10.0,11.0,18.0,12.0,16.0,16.0,13.5,12.0,13.0,12.0,11.0,12.0
13.0,16.0,19.0,21.0,19.0,16.0,16.0,15.0,18.0,19.0,19.0,10.0,12.0,12.0,13.0,14.0,16.0,17.0,9.0,9.0,17.0,12.0,15.0,14.0,13.0,12.0,13.0,12.0,11.0,12.0
13.0,16.0,18.0,21.0,18.0,15.0,15.0,14.0,17.0,19.0,18.0,10.0,10.0,11.5,12.0,13.0,15.0,17.0,9.0,9.0,18.0,12.0,15.0,13.0,12.0,11.0,12.5,10.0,11.0,12.0
13.0,16.0,18.0,20.0,19.0,14.0,14.0,13.0,17.0,18.0,18.0,10.0,10.0,11.0,11.0,12.5,15.0,17.0,8.0,8.0,16.0,11.5,14.0,13.0,12.0,11.0,12.0,9.0,11.0,12.0
13.0,16.0,18.0,19.0,18.0,14.0,14.0,13.0,17.0,18.0,18.0,10.0,10.0,11.0,11.0,12.0,13.0,17.0,8.0,7.0,15.0,11.0,14.0,13.0,11.5,10.0,12.0,9.0,11.0,12.0
13.0,15.5,18.0,19.0,17.5,13.0,13.0,13.0,17.0,16.0,17.0,10.0,8.0,10.0,11.0,13.0,13.0,16.0,8.0,7.0,16.0,11.0,13.0,12.0,11.0,10.0,12.0,9.0,11.0,12.0
13.0,15.0,17.0,19.0,17.0,12.5,13.0,12.0,19.0,17.0,18.0,9.0,9.0,12.0,11.0,12.0,13.0,16.0,8.0,7.0,16.0,11.0,13.0,13.0,13.0,10.0,11.0,8.5,11.0,12.0
13.0,14.0,18.0,18.0,17.0,12.0,12.0,12.0,17.0,16.0,18.0,9.0,8.0,10.0,11.0,11.0,12.5,16.0,8.0,7.0,15.0,11.0,12.0,13.0,12.0,10.0,12.0,8.0,11.0,12.0
13.0,15.0,18.0,18.0,17.0,11.0,12.0,12.0,16.0,15.0,17.0,9.0,6.0,10.0,10.0,11.0,12.0,15.0,8.0,6.0,15.0,11.0,12.0,10.0,12.0,10.0,11.0,8.0,11.0,12.0
13.0,15.0,18.0,17.0,17.0,12.0,11.0,11.75,16.0,15.0,16.875,9.0,7.0,10.0,11.0,11.0,11.0,15.0,6.0,6.0,15.0,11.0,13.0,10.0,11.0,10.0,9.0,8.0,11.0,12.0
13.0,15.0,18.0,16.0,16.857142857142858,11.0,10.857142857142858,11.5,15.857142857142858,14.714285714285714,16.75,9.0,6.571428571428571,10.0,10.75,9.0,12.0,15.0,6.0,5.0,16.0,11.0,13.0,10.0,11.0,10.0,9.0,9.0,11.0,12.0
13.166666666666666,14.833333333333334,18.0,16.0,16.714285714285715,10.666666666666666,10.714285714285714,11.25,15.714285714285714,14.428571428571429,16.625,9.0,6.142857142857143,11.0,10.5,10.0,11.0,15.0,8.666666666666666,5.0,16.0,11.0,13.0,12.0,12.0,10.0,9.0,9.0,11.0,12.0
13.333333333333334,14.666666666666666,18.0,16.0,16.571428571428573,10.333333333333334,10.571428571428571,11.0,15.571428571428571,14.142857142857142,16.5,9.0,5.714285714285714,10.8,10.25,9.666666666666666,10.5,12.5,11.333333333333332,6.0,10.0,13.0,12.333333333333334,12.5,13.0,10.0,9.5,9.0,10.333333333333334,11.5
13.5,14.5,18.0,16.0,16.428571428571427,10.0,10.428571428571429,10.75,15.428571428571429,13.857142857142858,16.375,9.0,5.285714285714286,10.6,10.0,9.333333333333334,10.0,10.0,14.0,6.0,4.0,15.0,11.666666666666666,13.0,14.0,10.0,10.0,9.0,9.666666666666666,11.0
13.666666666666666,14.333333333333334,18.0,16.0,16.285714285714285,9.666666666666666,10.285714285714286,10.5,15.285714285714286,13.571428571428571,16.25,9.0,4.857142857142858,10.4,10.0,9.0,10.0,10.0,11.0,5.0,5.0,16.0,11.0,12.0,12.333333333333334,9.0,10.0,8.0,9.0,11.0
13.833333333333334,14.166666666666666,18.0,16.0,16.142857142857142,9.333333333333334,10.142857142857142,10.25,15.142857142857142,13.285714285714286,16.125,9.0,4.428571428571429,10.2,10.0,8.666666666666666,9.0,10.0,8.0,5.0,5.0,13.5,11.0,11.0,10.666666666666666,9.0,9.0,8.666666666666666,9.0,11.0
