0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
-5.0,-8.0,-9.5,-8.0,-9.0,-9.0,-9.0,-7.0,-5.0,-7.0,-9.0,-8.0,-6.0,0.0,1.0,3.0,4.5,7.0,4.0,2.0,3.0,6.0,6.0,13.0,8.0,6.0,8.0,11.0
-5.0,-8.0,-9.0,-8.0,-9.0,-9.0,-9.0,-7.0,-4.5,-7.0,-9.0,-8.0,-5.0,0.0,1.5,3.0,5.0,7.0,4.0,2.0,3.0,6.0,6.0,14.0,8.0,6.0,9.0,11.0
-5.0,-8.0,-9.0,-8.0,-9.0,-9.0,-9.0,-6.5,-4.0,-7.0,-8.0,-7.0,-5.0,0.0,2.0,3.0,5.0,7.0,4.0,2.0,3.0,6.0,6.0,14.0,8.0,6.0,8.0,12.0
-5.0,-8.0,-9.0,-8.0,-8.0,-9.0,-9.0,-6.0,-4.0,-7.0,-8.0,-7.0,-5.0,0.0,1.0,3.0,5.0,7.0,3.5,2.0,4.0,6.0,6.0,14.0,8.0,6.0,9.0,12.0
-5.0,-8.0,-9.0,-8.0,-8.0,-9.0,-10.0,-7.0,-4.0,-7.0,-8.0,-7.0,-5.0,0.0,1.0,3.0,4.5,7.0,3.0,2.0,4.0,6.0,6.0,14.0,8.0,6.0,8.0,12.0
-5.0,-9.0,-10.0,-9.0,-9.0,-9.0,-10.0,-7.0,-5.0,-8.0,-8.5,-8.0,-5.0,0.0,1.0,2.5,4.0,7.0,3.0,2.0,3.0,7.0,6.0,14.0,7.0,6.0,9.0,11.0
-5.0,-9.0,-11.0,-9.0,-9.0,-9.0,-10.0,-7.0,-5.0,-8.0,-9.0,-8.0,-5.0,0.0,1.0,2.0,4.0,6.0,3.0,2.0,3.0,5.0,6.0,13.0,7.0,6.0,8.0,11.0
-5.0,-9.0,-12.0,-9.0,-9.0,-10.0,-10.0,-7.0,-5.0,-8.0,-9.0,-9.0,-5.0,0.0,1.0,1.0,4.0,5.0,2.5,1.5,2.0,3.0,6.0,12.0,7.0,5.0,6.0,10.0
-5.0,-9.0,-12.0,-10.0,-10.0,-10.0,-10.0,-7.0,-6.0,-8.0,-9.0,-9.0,-5.0,-1.0,2.0,0.0,3.0,5.0,2.0,1.0,2.0,3.0,5.0,11.0,7.0,5.0,6.0,9.0
-5.0,-8.5,-12.0,-10.0,-11.0,-11.0,-10.5,-8.0,-6.0,-8.0,-9.0,-10.0,-5.0,0.0,2.0,0.0,3.0,3.0,2.0,1.0,1.0,2.0,6.0,11.0,7.0,4.0,4.0,8.0
-5.0,-8.0,-12.5,-10.0,-11.0,-11.0,-11.0,-8.0,-6.0,-8.0,-9.0,-10.0,-5.0,-1.0,2.0,-1.0,3.0,2.5,2.0,1.0,0.0,1.0,5.0,9.5,7.0,4.0,3.0,7.0
-5.0,-8.0,-13.0,-11.0,-11.0,-11.0,-11.0,-8.0,-6.0,-9.0,-9.0,-10.0,-6.0,-0.5,2.0,0.0,2.0,2.0,2.0,0.0,-2.0,1.0,4.0,8.0,6.0,4.0,3.0,5.0
-5.0,-8.0,-13.0,-11.0,-13.0,-11.0,-11.0,-8.0,-6.0,-9.0,-9.0,-12.0,-6.0,0.0,2.0,-1.0,2.0,1.0,1.0,0.0,-3.0,-1.0,5.0,6.0,6.0,3.0,1.0,5.0
-5.0,-8.0,-13.0,-12.0,-13.0,-12.0,-11.0,-9.0,-7.0,-9.0,-9.0,-12.0,-6.0,-1.0,2.0,-3.0,1.0,1.0,1.0,0.0,-2.0,-1.0,5.0,9.0,6.0,3.0,1.0,4.0
-5.0,-8.0,-16.0,-13.0,-14.0,-13.0,-10.5,-10.0,-7.0,-9.0,-9.0,-13.0,-6.0,0.0,2.0,-3.0,1.0,1.0,0.0,0.0,-3.0,-2.0,5.0,7.0,5.0,2.0,0.0,3.0
-5.0,-8.0,-15.0,-13.0,-14.0,-14.0,-10.0,-10.0,-7.0,-9.0,-9.0,-13.5,-5.0,-1.0,2.0,-3.0,1.0,1.0,0.0,-2.0,-4.0,-1.5,4.0,7.0,6.0,2.5,0.0,2.0
-5.0,-8.0,-16.0,-14.0,-14.0,-14.0,-10.0,-12.0,-7.0,-9.0,-9.0,-14.0,-5.0,-1.0,2.0,-3.0,0.0,0.5,0.0,-2.5,-4.0,-1.0,5.0,6.0,6.0,3.0,0.0,2.0
-5.0,-8.0,-17.0,-16.0,-14.5,-14.5,-10.0,-12.0,-7.0,-9.0,-9.0,-14.0,-6.0,-1.0,1.0,-3.0,0.0,0.0,-0.5,-3.0,-4.0,-2.0,4.0,5.0,5.0,3.0,0.0,1.0
-5.0,-8.0,-18.0,-16.0,-15.0,-15.0,-10.0,-12.0,-7.0,-9.0,-9.5,-14.428571428571429,-5.857142857142857,0.0,1.0,-3.0,0.0,1.0,-1.0,-2.0,-4.0,-3.0,5.0,6.0,4.833333333333333,3.0,1.0,2.0
-6.0,-8.0,-18.142857142857142,-15.0,-15.0,-14.666666666666666,-10.0,-12.0,-7.5,-9.0,-10.0,-14.857142857142858,-5.714285714285714,-1.0,1.0,-3.0,0.0,1.0,-1.0,-3.0,-4.0,-2.0,4.0,5.0,4.666666666666667,3.0,0.0,1.0
-6.0,-8.5,-18.285714285714285,-15.0,-15.0,-14.333333333333334,-10.0,-10.0,-8.0,-9.0,-10.0,-15.285714285714285,-5.571428571428571,-0.8,1.0,-2.6666666666666665,0.0,1.0,-1.0,-4.0,-4.0,-2.5,2.5,5.0,4.5,2.0,0.75,0.0
-6.0,-9.0,-18.428571428571427,-15.0,-15.0,-14.0,-9.0,-10.0,-9.0,-9.0,-11.0,-15.714285714285714,-5.428571428571429,-0.6,1.25,-2.3333333333333335,0.0,0.6666666666666667,-1.0,-4.0,-4.0,-3.0,1.0,4.0,4.333333333333333,2.0,1.5,0.0
-6.333333333333333,-8.0,-18.571428571428573,-15.0,-15.0,-14.0,-12.0,-9.5,-10.0,-9.0,-11.333333333333334,-16.142857142857142,-5.285714285714286,-0.3999999999999999,1.5,-2.0,0.0,0.33333333333333337,-1.0,-3.0,-4.0,-4.0,-0.5,4.333333333333333,4.166666666666667,2.0,2.25,0.0
-6.666666666666667,-7.0,-18.714285714285715,-15.0,-15.0,-14.0,-15.0,-9.0,-11.0,-9.0,-11.666666666666666,-16.57142857142857,-5.142857142857143,-0.19999999999999996,1.75,-1.6666666666666667,0.0,0.0,-1.0,-2.0,-4.0,-5.0,-2.0,4.666666666666667,4.0,2.0,3.0,0.0
