0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
11.0,8.0,7.0,5.0,6.0,4.0,2.0,5.0,6.0,7.0,3.0,3.0,5.0,3.0,2.0,1.0,3.0,4.0,7.5,5.0,6.0,8.0,6.333333333333333,5.0,4.0,2.0,4.0,2.0,0.0,0.0,-1.0
11.0,8.0,7.0,5.0,6.0,3.0,2.0,5.0,5.0,7.0,3.0,3.0,5.0,3.0,2.0,1.0,3.0,4.0,8.0,5.0,6.5,7.0,6.666666666666667,5.0,4.0,2.0,4.0,2.0,0.0,0.0,-1.0
12.0,7.0,7.0,5.0,6.0,3.0,2.0,4.0,5.0,7.0,3.0,3.0,5.0,3.0,2.0,1.0,3.0,4.0,8.0,5.0,7.0,8.0,7.0,5.0,4.0,2.0,4.0,3.0,0.0,0.0,-1.0
11.0,7.0,7.0,5.0,6.0,3.0,2.5,4.0,5.0,7.0,3.0,3.0,4.0,3.0,2.0,1.0,2.5,4.0,9.0,4.0,7.0,8.0,7.0,5.0,4.0,3.0,4.0,3.0,0.0,0.0,-1.0
11.0,6.0,6.0,5.0,6.0,3.0,3.0,4.0,5.0,6.0,3.0,2.0,4.0,3.0,2.0,1.0,2.0,3.0,9.0,4.0,7.0,8.0,6.833333333333333,4.0,4.0,3.0,4.0,3.0,0.0,0.0,-1.0
10.0,6.0,6.0,4.0,2.0,3.0,3.0,4.0,4.0,5.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,9.0,3.0,8.0,8.0,6.666666666666667,4.0,4.0,2.0,4.0,3.0,0.0,0.0,-1.0
10.0,5.0,6.0,4.0,2.0,2.5,3.0,3.0,5.0,4.0,3.0,1.0,2.0,1.5,1.0,0.0,0.0,1.0,9.0,3.0,8.0,8.0,6.5,3.0,3.0,2.0,4.0,2.5,0.0,0.0,-1.0
9.0,5.0,6.0,4.0,2.0,2.0,3.5,3.5,4.0,3.0,3.0,1.0,2.0,1.0,1.0,0.0,-1.0,0.0,9.0,3.0,8.0,8.0,6.333333333333333,3.0,3.0,2.0,4.0,2.0,0.0,0.0,-2.0
10.0,5.0,6.0,4.0,2.0,2.0,4.0,4.0,5.0,3.0,2.5,1.0,1.0,0.0,0.0,-1.0,-2.0,1.0,9.0,3.0,8.0,6.0,6.166666666666667,3.0,3.0,2.0,3.0,2.0,0.0,-1.0,-2.0
10.0,6.0,6.0,4.0,2.0,2.0,4.0,4.0,5.0,3.0,2.0,2.0,0.0,-2.0,0.0,-2.0,-2.0,2.0,9.0,3.0,8.0,6.0,6.0,3.0,3.0,2.0,3.0,2.0,0.0,-1.0,-3.0
8.0,6.0,6.0,4.0,3.0,2.0,4.0,4.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0,-2.0,-2.0,0.0,9.0,2.0,8.0,6.0,6.0,3.0,3.0,2.0,3.0,2.0,0.0,-1.0,-3.0
9.0,6.0,6.0,4.0,3.0,2.0,4.0,4.0,5.0,1.0,2.0,1.0,-0.3333333333333333,0.0,0.0,-2.0,-3.0,-1.0,9.0,2.0,7.0,7.0,6.0,2.0,3.0,2.0,3.0,2.0,0.0,-1.0,-3.0
7.5,5.5,7.0,4.0,3.0,2.0,4.0,3.0,5.0,1.0,2.0,1.0,-0.6666666666666666,-1.0,-2.0,-2.0,-3.5,-2.0,8.5,2.0,7.5,6.0,6.0,2.0,3.0,2.0,3.0,2.0,0.0,-1.0,-4.0
6.0,5.0,7.0,4.0,4.0,2.0,4.0,4.0,5.0,0.0,2.0,0.0,-1.0,-2.0,-2.0,-2.0,-4.0,-1.0,8.0,2.0,8.0,6.5,6.0,2.0,3.0,2.0,3.0,2.0,0.0,-1.0,-4.0
6.0,5.0,8.0,4.0,4.0,2.0,4.0,3.0,4.0,0.0,1.0,0.0,-2.0,-2.5,-3.0,-3.0,-4.0,-2.0,8.0,2.0,8.0,7.0,6.0,2.0,3.0,2.0,3.0,1.0,0.0,-1.0,-5.0
6.0,5.0,8.0,4.0,4.0,2.0,4.0,3.0,4.0,-1.0,1.0,0.0,-3.0,-3.0,-3.0,-3.0,-4.0,-2.0,8.0,3.0,8.0,7.0,6.0,1.0,3.0,2.0,2.0,1.0,0.0,-1.0,-4.5
4.0,5.0,8.0,4.0,3.0,2.0,4.0,3.0,4.0,-2.0,1.0,1.0,-2.0,-3.0,-3.0,-3.0,-4.0,-2.0,8.0,3.0,8.0,7.0,6.0,2.0,3.0,1.0,2.0,1.0,0.0,-1.0,-4.0
5.0,5.0,8.0,4.0,4.0,2.0,4.0,3.0,4.0,-1.0,1.0,1.0,-2.0,-3.0,-3.5,-4.0,-5.0,-1.5,8.0,3.0,8.0,7.0,5.5,1.0,2.0,2.0,2.0,1.0,0.0,-1.0,-5.0
5.0,5.0,7.0,5.0,4.0,2.0,4.0,2.5,4.0,0.0,1.0,1.0,-4.0,-3.0,-4.0,-3.0,-5.0,-1.0,8.0,3.0,8.0,7.0,5.0,2.0,2.0,2.0,2.0,1.0,0.0,-1.0,-4.0
5.0,4.0,8.0,5.0,3.0,2.0,4.0,2.0,4.0,0.0,1.0,1.0,-3.0,-3.0,-4.0,-5.0,-5.0,-1.0,8.0,3.1666666666666665,8.0,7.0,4.0,1.0,2.0,2.0,2.0,1.0,0.0,-1.0,-4.0
5.0,4.0,8.0,5.0,3.5,2.0,4.0,2.0,4.0,1.0,1.0,1.0,-3.0,-4.0,-4.0,-4.5,-6.0,-0.5,8.0,3.3333333333333335,8.0,7.0,4.0,1.0,2.0,1.8333333333333333,2.0,1.0,-1.0,-1.0,-4.0
5.0,4.0,8.0,5.0,4.0,2.0,4.0,2.0,4.0,1.0,0.8,1.0,-3.0,-3.6666666666666665,-3.75,-4.0,-6.0,0.0,5.333333333333334,3.5,8.0,7.0,4.0,2.0,2.0,1.6666666666666667,2.0,1.0,-1.0,-1.0,-3.0
5.0,4.0,8.0,5.0,4.5,2.0,4.0,3.0,3.5,1.3333333333333333,0.6,1.0,-3.3333333333333335,-3.3333333333333335,-3.5,-3.5,-6.0,-3.0,2.666666666666667,3.6666666666666665,8.0,7.0,3.75,3.5,2.0,1.5,1.3333333333333335,1.0,-1.0,-1.0,-2.0
5.0,4.0,8.0,5.0,5.0,2.0,4.0,4.0,3.0,1.6666666666666665,0.3999999999999999,1.0,-3.6666666666666665,-3.0,-3.25,-3.0,-6.0,-6.0,0.0,3.833333333333333,8.0,7.0,3.5,5.0,2.0,1.3333333333333335,0.6666666666666667,1.0,-1.0,-1.0,-1.0
