0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
11.0,14.0,16.0,15.0,15.0,16.0,15.0,16.0,17.0,16.0,16.25,14.0,13.0,17.0,15.0,10.833333333333334,15.0,13.666666666666666,16.0,16.0,13.0,10.0,10.0,12.0,13.447761194029852,24.19402985074627,15.142857142857142,18.0,17.0,11.0,13.222222222222221
12.0,14.0,16.0,16.0,15.0,16.0,15.0,16.0,16.0,15.0,16.0,14.0,13.0,17.0,14.0,11.0,14.0,13.0,16.0,16.0,13.0,10.0,10.5,12.0,13.671641791044776,24.417910447761194,15.0,18.5,17.0,12.0,13.0
12.0,14.0,15.0,16.0,14.0,16.0,15.0,15.0,16.0,15.0,16.0,14.0,13.0,17.5,14.0,11.0,13.0,12.0,16.0,15.0,13.0,10.0,11.0,11.0,13.895522388059701,24.64179104477612,15.0,19.0,17.0,12.0,13.0
12.0,14.0,15.0,16.0,14.0,16.0,15.0,15.0,16.0,15.0,16.0,14.0,13.0,18.0,14.0,11.0,14.0,12.0,16.333333333333332,15.0,13.0,10.0,10.5,11.0,14.119402985074627,24.865671641791046,15.0,19.0,17.0,12.0,13.0
13.0,15.0,15.0,16.0,14.0,16.0,15.0,15.0,16.0,15.5,15.0,15.0,13.0,17.0,14.0,11.0,13.0,12.0,16.666666666666668,15.0,13.0,10.0,10.0,11.5,14.343283582089553,25.08955223880597,15.0,19.0,17.0,13.0,13.0
13.0,15.0,15.0,16.0,14.0,16.0,15.0,16.0,16.0,16.0,15.0,14.0,13.333333333333334,18.0,14.0,12.0,14.0,13.0,17.0,15.0,13.0,10.0,11.0,12.0,14.567164179104477,25.313432835820898,15.0,19.0,17.0,13.0,13.0
14.0,15.0,15.0,16.0,15.0,16.0,15.0,16.0,16.0,17.0,15.0,14.0,13.666666666666666,18.0,14.0,12.0,14.0,13.0,18.0,15.0,14.0,10.0,12.0,13.0,14.791044776119403,25.537313432835823,16.0,19.0,17.0,14.0,14.0
14.0,15.0,15.0,16.0,16.0,16.0,15.5,17.0,18.0,18.0,15.0,14.0,14.0,19.0,15.0,12.0,16.0,16.0,19.0,16.0,14.0,11.0,12.5,15.0,15.014925373134329,25.76119402985075,18.0,19.0,18.0,14.0,15.0
16.0,15.0,15.5,16.0,17.0,17.0,16.0,17.0,18.0,19.0,15.5,14.0,15.0,18.0,15.0,12.5,17.0,17.0,20.0,17.0,14.0,11.0,13.0,16.0,15.238805970149254,25.98507462686567,20.0,20.0,18.0,16.0,17.0
17.0,15.0,16.0,16.5,17.0,17.0,16.0,15.0,20.0,20.0,16.0,15.0,15.0,18.0,16.0,13.0,18.0,18.0,21.0,17.0,15.0,12.0,14.0,18.0,15.46268656716418,26.208955223880597,22.0,20.0,17.0,17.0,17.0
18.0,15.0,16.0,17.0,18.0,17.0,17.0,15.0,19.0,20.0,16.5,16.0,16.0,18.0,17.0,14.0,18.0,19.0,22.0,18.0,16.0,14.0,16.0,18.5,15.686567164179104,26.432835820895523,23.0,20.0,18.0,18.0,18.0
19.0,15.0,16.0,18.0,20.0,17.0,19.0,16.0,19.0,21.0,17.0,15.0,17.0,19.0,15.0,15.0,19.0,20.0,23.0,18.0,15.0,15.0,16.0,19.0,15.91044776119403,26.65671641791045,24.0,20.0,17.0,19.0,18.0
19.0,15.5,16.0,19.0,21.0,17.0,19.0,17.0,20.0,22.0,17.0,14.5,17.5,19.5,15.0,16.0,20.0,21.0,22.0,19.0,16.0,15.0,17.0,20.0,16.134328358208954,26.88059701492537,25.0,21.0,17.0,19.0,19.0
19.0,16.0,16.0,20.0,22.0,17.0,19.0,19.0,21.0,23.0,17.0,14.0,18.0,20.0,15.0,15.0,20.0,22.0,23.0,19.0,16.0,15.0,17.0,21.0,16.35820895522388,27.104477611940297,26.0,22.0,17.0,19.0,20.0
19.0,17.0,16.0,20.0,23.0,17.0,20.0,20.0,21.0,23.5,19.0,14.0,18.0,20.0,16.0,16.0,20.0,22.0,23.0,21.0,16.0,16.0,18.0,21.0,16.582089552238806,27.328358208955223,26.0,23.0,18.0,19.0,21.0
20.0,19.0,17.0,20.0,23.0,18.0,21.0,21.0,22.0,24.0,19.0,16.0,19.0,20.0,17.0,17.0,21.0,23.0,23.0,21.0,17.0,16.0,18.0,22.0,16.80597014925373,27.55223880597015,28.0,23.0,18.0,20.0,23.0
20.0,19.0,17.0,21.0,24.0,18.0,21.0,21.0,22.5,24.0,19.0,16.0,19.0,20.0,14.0,18.0,21.0,24.0,23.0,20.0,17.0,17.0,19.0,23.0,17.029850746268657,27.776119402985074,28.0,23.0,18.0,20.0,23.0
21.0,19.0,18.0,21.0,25.0,18.5,23.0,21.5,23.0,24.0,20.0,17.0,20.0,21.0,17.0,18.0,22.0,24.0,24.0,19.0,17.0,18.0,19.0,23.0,17.253731343283583,28.0,29.0,25.0,18.0,21.0,24.0
21.0,19.0,18.0,22.0,26.0,19.0,23.0,22.0,22.0,25.0,20.0,17.5,21.0,21.0,16.0,19.0,21.0,24.0,23.0,19.0,17.0,19.0,20.0,24.0,17.47761194029851,29.0,30.0,24.0,18.0,21.0,24.0
21.0,20.0,19.0,23.0,26.0,19.0,23.0,22.5,22.0,25.0,20.0,18.0,21.5,21.0,15.0,19.0,22.0,25.0,23.0,20.0,15.0,18.0,21.0,24.0,17.701492537313435,29.0,31.0,25.0,18.0,21.0,24.0
22.0,19.0,19.0,23.0,26.0,19.0,24.0,23.0,23.0,25.0,20.0,17.0,22.0,21.0,16.0,19.5,22.0,26.0,23.0,20.0,16.0,18.0,21.0,25.0,17.92537313432836,29.0,31.0,25.0,19.0,22.0,24.0
22.0,19.0,20.0,24.0,26.0,19.0,25.0,23.0,23.5,26.0,20.0,17.0,22.0,21.0,16.0,20.0,22.0,26.0,23.0,19.0,16.0,20.0,22.0,26.0,18.149253731343283,30.0,32.0,24.0,19.0,22.0,25.0
