,0
527,17.0
528,16.0
529,16.0
530,16.0
531,16.0
532,16.0
533,16.0
534,16.0
535,16.0
536,14.5
537,13.0
538,12.0
539,11.0
540,11.0
541,10.0
542,11.0
543,10.0
544,10.0
545,11.0
546,11.0
547,11.0
548,10.0
549,10.0
550,10.0
551,10.0
552,10.0
553,10.0
554,10.0
555,10.0
556,10.0
557,10.0
558,10.0
559,10.0
560,10.0
561,10.0
562,10.0
563,9.0
564,9.0
565,9.0
566,9.0
567,8.5
568,8.0
569,7.0
570,7.0
571,7.0
572,7.0
573,7.0
574,6.666666666666667
575,6.333333333333333
576,6.0
577,6.0
578,6.0
579,5.5
580,5.0
581,6.0
582,7.0
583,8.0
584,9.0
585,9.0
586,10.0
587,11.0
588,11.0
589,11.0
590,12.0
591,12.0
592,13.0
593,13.0
594,13.0
595,13.0
596,13.0
597,13.0
598,14.0
599,15.0
600,14.0
601,14.0
602,14.0
603,14.0
604,13.0
605,13.0
606,13.0
607,12.0
608,11.0
609,11.0
610,10.0
611,9.0
612,9.0
613,7.0
614,5.0
615,5.0
616,4.5
617,4.0
618,4.0
619,5.0
620,4.0
621,3.0
622,3.0
623,3.0
624,3.0
625,3.0
626,2.0
627,1.0
628,2.0
629,3.0
630,4.0
631,6.0
632,7.0
633,8.0
634,9.0
635,10.0
636,11.0
637,11.5
638,12.0
639,13.0
640,13.0
641,14.0
642,14.0
643,15.0
644,15.0
645,15.0
646,15.5
647,16.0
648,16.0
649,16.0
650,16.0
651,16.0
652,16.0
653,16.0
654,16.0
655,15.0
656,15.0
657,14.0
658,12.0
659,10.0
660,8.0
661,7.0
662,7.0
663,6.5
664,6.0
665,5.0
666,4.0
667,4.0
668,4.0
669,4.0
670,4.0
671,4.0
672,3.0
673,3.0
674,3.0
675,3.0
676,2.0
677,4.0
678,6.0
679,8.0
680,10.0
681,11.0
682,12.0
683,13.0
684,14.0
685,15.0
686,15.0
687,16.0
688,16.0
689,15.0
690,15.0
691,15.0
692,14.0
693,12.0
694,14.0
695,12.0
696,12.0
697,12.0
698,12.0
699,12.0
700,13.0
701,12.0
702,13.0
703,10.0
704,9.0
705,8.0
706,8.0
707,7.0
708,6.0
709,6.0
710,6.0
711,6.0
712,6.0
713,6.0
714,6.0
715,6.0
716,5.5
717,5.0
718,5.0
719,5.0
720,5.0
721,5.0
722,5.0
723,5.0
724,5.0
725,6.0
726,6.0
727,5.0
728,6.0
729,5.0
730,6.0
731,6.0
732,7.0
733,6.0
734,6.333333333333333
735,6.666666666666667
736,7.0
737,8.0
738,9.0
739,10.0
740,11.0
741,10.0
742,10.0
743,6.0
744,9.0
745,10.0
746,9.0
747,10.0
748,11.0
749,10.0
750,8.0
751,8.0
752,8.0
753,7.0
754,6.0
755,6.0
756,6.0
757,6.0
758,6.0
759,5.0
760,5.0
761,4.0
762,3.0
763,3.0
764,2.6
765,2.2
766,1.7999999999999998
767,1.4
768,1.0
769,1.0
770,0.0
771,0.0
772,0.0
773,0.0
774,2.0
775,4.0
776,5.0
777,6.0
778,8.0
779,9.0
780,10.0
781,10.0
782,11.0
783,11.0
784,12.0
785,13.0
786,14.0
787,14.0
788,14.0
789,15.0
790,15.0
791,15.0
792,15.0
793,16.0
794,16.0
795,15.0
796,15.0
797,15.0
798,15.0
799,14.0
800,14.0
801,13.0
802,13.0
803,12.0
804,10.0
805,11.0
806,12.0
807,11.0
808,11.0
809,10.0
810,9.714285714285714
811,9.428571428571429
812,9.142857142857142
813,8.857142857142858
814,8.571428571428571
815,8.285714285714286
816,8.0
817,8.0
818,7.0
819,8.0
820,7.0
821,7.0
822,8.0
823,8.0
824,9.0
825,10.0
826,9.0
827,11.0
828,11.0
829,12.0
830,13.0
831,13.0
832,14.0
833,16.0
834,17.0
835,17.0
836,17.0
837,18.0
838,17.5
839,17.0
840,17.0
841,17.5
842,18.0
843,17.0
844,17.0
845,17.0
846,17.0
847,16.0
848,16.0
849,15.0
850,15.0
851,14.0
852,14.0
853,14.0
854,13.0
855,12.666666666666666
856,12.333333333333334
857,12.0
858,12.0
859,12.0
860,11.5
861,11.0
862,10.666666666666666
863,10.333333333333334
864,10.0
865,10.0
866,10.0
867,10.0
868,9.0
869,10.0
870,11.0
871,12.0
872,12.0
873,14.0
874,15.0
875,15.0
876,17.0
877,19.0
878,19.5
879,20.0
880,20.0
881,21.0
882,20.0
883,20.0
884,20.0
885,21.0
886,21.0
887,20.0
888,21.0
889,21.0
890,21.0
891,22.0
892,21.0
893,22.0
894,21.0
895,21.0
896,19.0
897,17.0
898,16.0
899,15.0
900,15.0
901,13.0
902,14.0
903,12.0
904,11.0
905,12.0
906,12.0
907,11.666666666666666
908,11.333333333333334
909,11.0
910,10.666666666666666
911,10.333333333333334
912,10.0
913,9.5
914,9.0
915,9.0
916,8.0
917,8.0
918,11.0
919,12.0
920,13.0
921,14.0
922,16.0
923,17.0
924,18.0
925,18.5
926,19.0
927,20.0
928,22.0
929,22.5
930,23.0
931,24.0
932,24.0
933,24.0
934,24.0
935,22.0
936,22.0
937,22.5
938,23.0
939,22.0
940,22.0
941,22.0
942,21.0
943,20.0
944,19.0
945,19.0
946,19.0
947,18.0
948,18.0
949,17.0
950,17.0
951,16.5
952,16.0
953,14.0
954,14.0
955,14.0
956,14.0
957,14.0
958,14.0
959,15.0
960,15.0
961,14.0
962,13.0
963,13.0
964,13.0
965,12.0
966,13.0
967,14.0
968,14.0
969,14.0
970,15.0
971,16.0
972,16.0
973,17.0
974,18.0
975,18.5
976,19.0
977,20.0
978,20.0
979,20.0
980,20.0
981,20.0
982,18.0
983,16.5
984,15.0
985,14.0
986,15.0
987,15.0
988,15.0
989,15.0
990,16.0
991,16.0
992,15.5
993,15.0
994,14.0
995,13.5
996,13.0
997,14.0
998,14.0
999,13.0
