0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
11.0,11.0,8.0,13.0,11.0,9.0,15.0,5.0,9.0,13.0,12.0,12.0,6.0,7.0,9.0,3.0,5.5,5.0,5.0,8.0,7.0,8.0,9.0,8.0,8.0,8.0,8.0,-1.0,-1.0,-1.0,-2.0
11.0,11.0,8.5,12.5,11.0,9.0,15.0,5.0,13.0,12.0,12.0,12.0,5.5,8.0,8.0,2.0,7.0,5.0,5.5,8.0,7.0,8.0,9.0,8.0,8.0,8.0,8.0,-1.0,0.0,0.0,-2.0
11.0,11.0,9.0,12.0,11.0,8.0,14.0,5.0,13.5,12.0,12.0,12.0,5.0,8.5,7.0,2.0,8.0,5.0,6.0,8.0,7.0,8.0,9.0,8.0,8.0,8.0,8.0,-1.0,-2.0,0.0,-2.0
11.0,11.0,8.0,12.0,11.0,8.0,15.0,6.0,14.0,12.0,12.0,12.0,5.0,9.0,6.0,2.0,8.0,5.0,6.0,8.0,7.0,8.0,9.0,8.0,8.0,8.0,8.0,-1.0,-2.0,0.0,-2.0
11.0,11.0,8.0,12.0,11.0,8.0,15.0,6.0,14.0,12.0,12.0,12.0,5.5,9.0,6.0,3.0,8.0,6.0,6.0,8.0,7.0,9.0,9.0,8.0,8.0,8.0,8.0,-1.0,-3.0,0.0,-2.0
11.0,11.0,8.0,12.0,11.0,8.0,14.5,6.5,14.0,12.0,11.5,12.0,6.0,8.0,6.0,3.0,8.0,6.0,6.0,8.0,6.0,9.0,9.0,8.0,8.0,8.0,7.0,-1.0,-2.0,0.0,-2.0
11.0,10.0,7.5,11.0,11.0,8.0,14.0,7.0,14.0,12.0,11.0,12.0,6.0,8.0,6.0,3.0,7.0,6.0,6.0,8.0,5.0,10.0,9.0,8.0,8.0,8.0,6.5,-1.0,-2.0,0.0,-2.0
11.0,10.0,7.0,12.0,10.0,8.0,15.0,7.0,14.0,12.0,11.5,12.25,6.0,7.0,6.0,3.0,7.0,6.0,6.0,7.5,6.0,10.0,8.5,8.0,8.0,8.0,6.0,-1.0,-2.0,0.0,-2.0
11.5,10.0,8.0,12.0,10.0,10.0,15.0,8.0,14.0,12.0,12.0,12.5,7.0,8.0,6.0,3.0,7.0,6.0,6.0,7.0,5.0,10.0,8.0,8.0,8.0,8.0,6.0,-1.0,-2.0,0.0,-2.0
12.0,10.0,8.0,14.0,11.0,12.0,14.0,8.0,14.0,12.0,12.0,12.75,7.0,9.0,6.0,3.0,8.0,6.0,6.0,8.0,6.5,10.0,8.0,8.0,8.0,8.0,5.0,-0.5,-2.0,0.0,-2.0
12.0,10.0,9.0,14.0,13.0,14.0,14.0,8.0,14.0,12.0,12.0,13.0,7.0,9.0,6.0,3.0,8.0,6.5,7.0,8.0,8.0,10.0,8.0,8.0,8.0,8.0,4.5,0.0,-1.0,0.5,-2.0
12.0,12.0,11.0,14.0,14.0,16.0,14.0,9.0,14.0,12.0,12.0,14.0,7.0,9.0,6.0,4.0,9.0,7.0,8.0,8.0,8.0,10.0,8.0,8.0,8.5,8.0,4.0,0.0,-0.5,1.0,-1.0
13.0,15.0,13.0,15.0,15.0,17.0,14.5,9.0,14.0,12.0,13.0,14.0,7.0,11.0,6.0,4.0,10.0,8.0,8.0,8.0,9.0,10.0,8.0,8.0,9.0,8.0,3.0,0.0,0.0,2.0,-1.0
13.0,15.0,13.0,15.5,15.5,18.0,15.0,10.0,14.0,12.0,13.0,14.0,7.5,11.0,6.0,4.5,11.0,9.0,10.0,9.0,10.0,10.0,8.0,8.0,9.0,8.0,3.0,0.0,0.0,6.0,-1.0
13.0,16.0,15.0,16.0,16.0,19.0,15.0,10.5,15.0,12.0,13.0,14.0,8.0,12.0,6.0,5.0,12.0,10.0,12.0,10.0,10.0,11.0,8.0,8.0,9.0,8.5,2.0,0.0,1.0,4.0,-1.0
14.0,16.0,15.0,16.0,16.5,19.0,15.0,11.0,15.0,13.0,14.0,15.0,9.0,13.0,6.5,7.0,12.0,11.0,13.0,10.0,11.5,11.0,9.0,8.0,9.0,9.0,2.0,0.0,1.0,5.0,0.0
14.0,16.0,16.0,16.0,17.0,20.0,15.0,11.0,15.0,14.0,14.0,15.0,10.0,13.0,7.0,8.0,13.0,14.0,14.0,12.0,13.0,11.0,9.0,9.0,9.0,9.0,2.0,0.0,1.0,5.0,0.0
15.0,16.0,17.0,16.5,17.0,21.0,15.0,11.0,15.5,14.0,14.0,14.0,11.0,13.0,7.0,9.5,14.0,16.0,16.0,13.0,15.0,12.0,9.0,9.0,9.5,9.0,1.0,0.0,1.0,5.0,1.0
15.0,17.0,18.0,17.0,18.0,21.0,15.5,12.0,16.0,14.0,13.0,14.0,12.0,13.0,8.0,11.0,15.0,17.0,17.0,16.0,17.0,12.0,9.0,9.0,10.0,9.0,2.0,0.0,2.0,6.0,1.0
16.0,17.0,18.0,16.0,19.0,21.0,16.0,12.0,16.0,14.0,13.0,14.0,12.0,13.0,8.0,11.0,16.0,17.0,18.0,18.0,17.5,13.333333333333334,10.0,9.0,10.0,9.0,1.0,1.0,2.0,6.0,1.0
16.0,17.0,18.0,17.0,19.0,22.0,16.0,12.0,17.0,14.0,13.5,14.0,12.0,13.0,8.0,11.0,17.0,19.0,20.0,19.0,18.0,14.666666666666666,10.0,9.0,10.0,9.5,2.0,1.0,2.0,6.0,1.5
17.0,18.0,18.0,17.0,19.0,22.0,16.0,13.0,17.0,14.0,14.0,14.0,13.0,13.0,8.0,11.0,17.5,19.0,20.0,20.0,18.0,16.0,10.0,9.0,10.0,10.0,2.0,1.0,2.0,6.0,2.0
16.5,18.0,18.0,17.0,19.0,21.5,17.0,13.0,16.0,14.0,14.0,14.0,13.0,13.0,8.0,12.0,18.0,19.0,20.0,20.0,20.0,17.0,10.0,9.0,10.0,10.0,2.0,1.0,2.0,6.0,3.0
16.0,19.0,18.0,17.0,20.0,21.0,16.5,13.0,17.0,15.0,14.0,14.0,13.0,13.0,8.0,11.5,18.0,19.0,20.0,21.0,20.0,17.0,10.0,9.0,10.0,10.0,2.0,1.0,4.0,7.0,3.0
16.0,19.0,17.5,16.0,20.0,21.0,16.0,13.0,17.5,15.0,15.0,14.0,14.0,13.0,8.0,11.0,18.0,19.0,20.5,21.0,20.0,17.0,10.0,9.0,10.0,10.0,2.0,1.0,4.0,7.0,4.0
